,loss,val_accuracy,val_loss,accuracy
0,0.4060550928115845,0.9138888716697693,0.25774064660072327,0.8409722447395325
1,0.235153928399086,0.9342592358589172,0.18962709605693817,0.9238426089286804
2,0.19273856282234192,0.9425926208496094,0.16921252012252808,0.9430555701255798
3,0.16693344712257385,0.9490740895271301,0.15661151707172394,0.9456018805503845
4,0.14335891604423523,0.9490740895271301,0.13338080048561096,0.9532407522201538
5,0.12888690829277039,0.9527778029441833,0.12313314527273178,0.9606481194496155
6,0.11769792437553406,0.9546296000480652,0.11485832184553146,0.9599537253379822
7,0.11235717684030533,0.9611111283302307,0.1062716543674469,0.9627314805984497
8,0.10355693846940994,0.9648148417472839,0.09530068188905716,0.9645833373069763
9,0.09839293360710144,0.9657407402992249,0.1022530049085617,0.96875
10,0.09306475520133972,0.9638888835906982,0.09688084572553635,0.9675925970077515
11,0.08991098403930664,0.9564814567565918,0.10529659688472748,0.9692129492759705
12,0.08865536749362946,0.9712963104248047,0.08536476641893387,0.9682870507240295
13,0.08103407174348831,0.9750000238418579,0.08719486743211746,0.9701389074325562
14,0.08191854506731033,0.970370352268219,0.08408466726541519,0.9694444537162781
15,0.07831345498561859,0.9731481671333313,0.07287177443504333,0.9717592597007751
16,0.0714445635676384,0.970370352268219,0.07831940054893494,0.9761574268341064
17,0.06922366470098495,0.9722222089767456,0.08124920725822449,0.9747685194015503
18,0.06533052027225494,0.9666666388511658,0.0806797444820404,0.9766203761100769
19,0.07021797448396683,0.9694444537162781,0.06986884027719498,0.9747685194015503
